#: table_doi: 10.17182/hepdata.72491.v1/t12,,,,,,,
#: name: Table 12,,,,,,,
#: description: Charged-particle multiplicities in proton-proton collisions at a centre-of-mass energy of 13000 GeV as a function of transverse momentum for events with the number of charged particles >=1 having transverse momentum >500 MeV and absolute(pseudorapidity) <0.8.,,,,,,,
,,,,,,,
#: data_file: Table12.yaml,,,,,,,
#: keyword reactions: P P --> CHARGED X,,,,,,,
#: keyword observables: DN/DETARAP/DPT,,,,,,,
#: keyword phrases: Inclusive | Single Differential Distribution | Transverse Momentum Dependence | Proton-Proton Scattering,,,,,,,
#: ETARAP(P=3),,,-1.6,,,,
#: N(P=3),,,>= 1,,,,
#: PT(P=3) [MEV],,,> 500,,,,
#: RE,,,P P --> CHARGED X,,,,
#: SQRTS(S) [GeV],,,13000,,,,
PT(P=3) [GEV],PT(P=3) [GEV] LOW,PT(P=3) [GEV] HIGH,(1/NEV)*(1/(2PI*PT(P=3))*DN(P=3)/DETARAP(P=3)/DPT(P=3) [GEV**-2],stat +,stat -,sys +,sys -
0.5481,0.5,0.6,2.022,0.0007464,-0.0007464,0.01634,-0.01645
0.6481,0.6,0.7,1.329,0.0005536,-0.0005536,0.01075,-0.01082
0.7481,0.7,0.8,0.9037,0.0003657,-0.0003657,0.008164,-0.00821
0.8482,0.8,0.9,0.6288,0.0002928,-0.0002928,0.005739,-0.00577
0.9482,0.9,1,0.4471,0.000235,-0.000235,0.004151,-0.004171
1.049,1,1.1,0.3239,0.000205,-0.000205,0.002975,-0.00299
1.149,1.1,1.2,0.2382,0.000148,-0.000148,0.0022,-0.002211
1.249,1.2,1.3,0.1778,0.0001279,-0.0001279,0.001629,-0.001637
1.349,1.3,1.4,0.1344,0.0001075,-0.0001075,0.001234,-0.001241
1.449,1.4,1.5,0.1026,9.78E-05,-9.78E-05,0.0009308,-0.000936
1.549,1.5,1.6,0.07937,7.97E-05,-7.97E-05,0.0007181,-0.0007222
1.649,1.6,1.7,0.06167,7.74E-05,-7.74E-05,0.0005592,-0.0005624
1.749,1.7,1.8,0.0485,6.00E-05,-6.00E-05,0.0004411,-0.0004435
1.849,1.8,1.9,0.03836,4.78E-05,-4.78E-05,0.0003499,-0.0003519
1.949,1.9,2,0.03062,4.51E-05,-4.51E-05,0.0002795,-0.000281
2.049,2,2.1,0.0244,3.54E-05,-3.54E-05,0.0002194,-0.0002207
2.149,2.1,2.2,0.0198,3.25E-05,-3.25E-05,0.0001784,-0.0001794
2.249,2.2,2.3,0.01595,2.54E-05,-2.54E-05,0.0001444,-0.0001453
2.349,2.3,2.4,0.01306,2.36E-05,-2.36E-05,0.000119,-0.0001197
2.449,2.4,2.5,0.01068,2.24E-05,-2.24E-05,9.78E-05,-9.83E-05
2.596,2.5,2.7,0.008049,1.32E-05,-1.32E-05,7.38E-05,-7.42E-05
2.796,2.7,2.9,0.005552,1.26E-05,-1.26E-05,5.13E-05,-5.16E-05
2.996,2.9,3.1,0.003893,8.35E-06,-8.35E-06,3.65E-05,-3.67E-05
3.197,3.1,3.3,0.002798,6.26E-06,-6.26E-06,2.66E-05,-2.67E-05
3.397,3.3,3.5,0.002014,5.62E-06,-5.62E-06,1.94E-05,-1.95E-05
3.726,3.5,4,0.001212,2.44E-06,-2.44E-06,1.20E-05,-1.21E-05
4.229,4,4.5,0.0005989,1.62E-06,-1.62E-06,6.41E-06,-6.43E-06
4.731,4.5,5,0.0003225,1.07E-06,-1.07E-06,3.54E-06,-3.54E-06
5.43,5,6,0.000142,4.20E-07,-4.20E-07,1.54E-06,-1.54E-06
6.441,6,7,5.32E-05,2.26E-07,-2.26E-07,5.85E-07,-5.87E-07
7.445,7,8,2.31E-05,1.15E-07,-1.15E-07,2.59E-07,-2.60E-07
8.449,8,9,1.11E-05,6.71E-08,-6.71E-08,1.59E-07,-1.59E-07
9.466,9,10,5.50E-06,4.00E-08,-4.00E-08,7.83E-08,-7.84E-08
11.7,10,15,1.46E-06,1.10E-08,-1.10E-08,2.58E-08,-2.58E-08
17.02,15,20,1.78E-07,2.61E-09,-2.61E-09,3.67E-09,-3.67E-09
23.64,20,30,2.49E-08,6.56E-10,-6.56E-10,6.89E-10,-6.89E-10
36.29,30,50,1.59E-09,1.08E-10,-1.08E-10,8.62E-11,-8.61E-11
